id,title,like_count,view_count,comment_count,duration,upload_date,has_caption,url,channel_id,transcript
100,네가 그렇게 수강신청을 잘해? 옥상… 아니 PC방으로 따라와! | 서울시립대 홍보대사 이루미,52,3203,5,12분 13초,2023-03-03 11:00,1,https://www.youtube.com/watch?v=7ZgwrPMqHVM,1,
101,나의 졸업 Scene | 서울시립대학교를 졸업하며 | 졸업생이 신입생에게 | SNS홍보기자단 시:선,28,1650,3,11분 40초,2023-02-23 2:37,1,https://www.youtube.com/watch?v=R3zgnRlzG28,1,
102,2023 서울시립대 대학생활안내,71,3938,6,7분 53초,2023-02-08 2:29,1,https://www.youtube.com/watch?v=ERCmHj81qDg,1,
103,[시대클라쓰] 5G? 6G? 한번에 정리해Dream | 이문규 교수 | 홍보대사 이루미,42,1611,6,10분 43초,2023-01-30 5:00,1,https://www.youtube.com/watch?v=YF1oKn7sEAw,1,
104,홍보단체 총출동! 추측읽기 하다가 손절각 잡은 썰.. | 집안싸움 | 서울시립대학교 홍보단체 | SNS 홍보 기자단 시:선,32,1655,12,13분 48초,2023-01-28 5:34,1,https://www.youtube.com/watch?v=yqa6kwUQo0k,1,
105,[시대클라쓰] DNA 만능론 시원하게 반박해준다.avi* | 이동성 교수 | 생명과학과 | 홍보대사 이루미,48,1812,8,10분 7초,2023-01-19 5:00,1,https://www.youtube.com/watch?v=E3aPJyO4Fvc,1,
106,1970년대 한국으로의 여행! [지리학자 Dege의 카메라],25,994,1,5분 7초,2023-01-19 2:02,1,https://www.youtube.com/watch?v=z2AXztMe-ec,1,
107,[시대클라쓰] 동물실험 없이도 독(毒)인지 알 수 있다고?! | 화학물질 유해성 |동물실험 대체| 최진희 교수 l 홍보대사 이루미,44,1729,4,11분 8초,2023-01-11 5:00,1,https://www.youtube.com/watch?v=krT5WekPUPY,1,
108,현장 실습이 궁금해?,11,691,1,4분 56초,2023-01-10 7:02,1,https://www.youtube.com/watch?v=G2ywiM_e4a8,1,
109,"해봄""이 한겨울에도 춥지 않은 이유 | 서울시립대학교 해외봉사단""",13,907,3,5분 16초,2023-01-02 0:34,1,https://www.youtube.com/watch?v=hJXwVvAuFPw,1,
110,내가 꿈꾸던 나를 만나다 (2022 서울시립대 홍보영상),131,5760,9,1분 35초,2022-12-28 5:00,1,https://www.youtube.com/watch?v=7cWbc3BQhd0,1,
111,'찐' 시립대인 파트너 변호사 | 시립대의 천재들 ep.5 | 우지훈 변호사 (세무 04) | SNS홍보기자단 시:선,65,2600,14,13분 45초,2022-12-28 2:32,1,https://www.youtube.com/watch?v=5Yf42SY3MVU,1,
112,"[2022 서울시립대학교 영상 공모전] 우수상 UOS 공대생의 VLOG""""",29,1621,4,3분 43초,2022-12-27 5:00,1,https://www.youtube.com/watch?v=LD0V7e2XuOI,1,
113,통학생 vs 기숙사생 누가누가 제로 웨이스트 잘하나 | 대학생의 초보 제로 웨이스트 도전기 | SNS홍보기자단 시:선,28,1253,3,11분 58초,2022-12-27 0:03,1,https://www.youtube.com/watch?v=Ou9xNbh9Ptc,1,
114,"[2022 서울시립대학교 영상 공모전] 우수상 시대인 인터뷰! 서울시립대 장점 시리즈""""",86,8460,19,2분 24초,2022-12-26 5:00,1,https://www.youtube.com/watch?v=-U28IltObrE,1,
